user_id,event_timestamp,step,source,target
40607414003791867981742423162170|1724209528https://staffing.epam.com/positions/708372706/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400037455131&position=708372706,1742423589078,3,Employee widget#Candidate summary - Show less ,
40607414004673566271742221674525|618217595https://staffing.epam.com/positions/799180854/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400306426689&position=799180854,1742221706129,2,Employee widget#click email icon,
40607414003678457541742235803685|124541902https://staffing.epam.com/positions/789013914/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400358517325&position=789013914,1742236309453,1,Employee widget#Candidate summary - Show more ,
40607414004080988191742454825328|45147146https://staffing.epam.com/positions/797635261/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000569245&position=797635261,1742454960884,2,Employee widget#Candidate summary - Show more ,
40607414003678457541742400696129|1937644532https://staffing.epam.com/positions/734960878/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400006107046&position=734960878,1742400867987,1,Employee widget#Candidate summary - Show more ,
87600000000009056371742301169442|564180975https://staffing.epam.com/positions/781886219/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000905637&position=781886219,1742301273309,1,Employee widget#Candidate summary - Show more ,Employee widget#open contacs
40607414004312051811742545067501|1598140593https://staffing.epam.com/positions/798970835/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400431205181&position=798970835,1742545840875,1,Employee widget#Candidate summary - Show more ,
40607414003678457541742235803685|124541902https://staffing.epam.com/positions/789013914/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400367845754&position=789013914,1742236267352,11,Employee widget#Candidate summary - Show more ,
40607414004415229731742367909444|979853851https://staffing.epam.com/positions/801060067/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400444238850&position=801060067,1742368140986,1,Employee widget#Candidate summary - Show more ,
40007414000110620801742375526118|740181837https://staffing.epam.com/positions/788731581/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000847892&position=788731581,1742486581097,4,Employee widget#Candidate summary - Show more ,
40607414000091110971742302408224|236764378https://staffing.epam.com/positions/800657611/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400358517325&position=800657611,1742302586264,1,Employee widget#Candidate summary - Show more ,
40607414003647241771742306928566|2047602463https://staffing.epam.com/positions/789706139/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400412959805&position=789706139,1742317287605,1,Employee widget#Candidate summary - Show more ,
40607414004266374671742570999086|1151102535https://staffing.epam.com/positions/798802768/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000132189&position=798802768,1742571024011,1,Employee widget#Candidate summary - Show more ,
40607414000092288581742382327043|1805527623https://staffing.epam.com/positions/789823257/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400321290312&position=789823257,1742382383495,3,Employee widget#Candidate summary - Show more ,
40607414003647241771742470548383|265942956https://staffing.epam.com/positions/789706139/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000469600&position=789706139,1742471062296,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414004266374671742335762603|1828311764https://staffing.epam.com/positions/798802768/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400426637467&position=798802768,1742336515930,9,Employee widget#Candidate summary - Show more ,
40607414003647241771742229666312|1470796984https://staffing.epam.com/positions/779963577/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400388359536&position=779963577,1742229865129,1,Employee widget#Candidate summary - Show more ,
40607414004162830721742738403466|224177088https://staffing.epam.com/positions/800780537/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000008555327&position=800780537,1742741442136,1,Employee widget#Candidate summary - Show more ,Employee widget#Click employee name
40607414000358585321742489064331|1866774225https://staffing.epam.com/positions/787373920/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000007586900&position=787373920,1742489384375,2,Employee widget#Candidate summary - Show more ,
40607414004266374671742441954280|420822844https://staffing.epam.com/positions/798802768/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400426637467&position=798802768,1742442012174,4,Employee widget#Candidate summary - Show more ,
40607414000348883701742395017013|1484391698https://staffing.epam.com/positions/798818288/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400377002648&position=798818288,1742395071999,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414000054331971742398211953|725634603https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400475005268&position=799652447,1742398393119,1,Employee widget#Candidate summary - Show more ,
87600000000001185031742207476394|1611303311https://staffing.epam.com/positions/797212275/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400463345902&position=797212275,1742207644763,6,Employee widget#Candidate summary - Show more ,
40607414000346559601742557248206|990909360https://staffing.epam.com/positions/799364786/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400034655960&position=799364786,1742557304392,3,Employee widget#Candidate summary - Show more ,
40607414000053667451742300760742|1039230506https://staffing.epam.com/positions/699461104/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400327693738&position=699461104,1742300952577,1,Employee widget#Candidate summary - Show more ,
40607414003221250931742558926007|2141760413https://staffing.epam.com/projects/869165e2-fe1b-49c7-a761-058c26d16f19/positions?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000006379420&position=728200544,1742559336102,2,Employee widget#Candidate summary - Show more ,
40607414004327535421742222441669|1164641307https://staffing.epam.com/positions/792932311/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000765788&position=792932311,1742222609958,1,Employee widget#Candidate summary - Show more ,
40607414000083294101742463866478|445816297https://staffing.epam.com/positions/799037375/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000682638&position=799037375,1742463916743,1,Employee widget#Candidate summary - Show more ,Employee widget#Click employee name
40607414000374545281742367291351|366739993https://staffing.epam.com/positions/801060067/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400470669493&position=801060067,1742367758705,1,Employee widget#Candidate summary - Show more ,
40607414000054331971742221554764|1720368189https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000617593&position=799652447,1742231387191,4,Employee widget#Candidate summary - Show more ,
40607414000054331971742420471745|1174426881https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000642267&position=799652447,1742422018471,1,Employee widget#Candidate summary - Show more ,
40607414000059610811742214898785|1228934826https://staffing.epam.com/positions/798721107/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400303458073&position=798721107,1742215157887,1,Employee widget#Candidate summary - Show more ,Employee widget#open#Expand skill group - Employee sidebar
40607414000059610811742214898785|1228934826https://staffing.epam.com/positions/798721107/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400303458073&position=798721107,1742215528935,3,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
87600000000004005251742368588730|429081238https://staffing.epam.com/positions/799327238/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000263830&position=799327238,1742368733496,1,Employee widget#Candidate summary - Show more ,Employee widget#Menu - matchAndSkillsCandidateWidgetTab
40607414000061424321742485916470|200007574https://staffing.epam.com/positions/790015193/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000007553957&position=790015193,1742487033529,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414004361310931742300664909|1217010792https://staffing.epam.com/positions/795129457/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400427751814&position=795129457,1742313872188,1,Employee widget#Candidate summary - Show more ,
40607414004913921791742481213045|520961957https://staffing.epam.com/positions/759042906/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400491392179&position=759042906,1742481237555,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414000076353311742389622116|121743122https://staffing.epam.com/positions/801476244/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400005400500&position=801476244,1742389663009,1,Employee widget#Candidate summary - Show more ,Employee widget#Candidate summary - Show more 
40607414000076353311742389622116|121743122https://staffing.epam.com/positions/801476244/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400005400500&position=801476244,1742389683858,2,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414004415229731742367909444|979853851https://staffing.epam.com/positions/801060067/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400436040145&position=801060067,1742368010229,1,Employee widget#Candidate summary - Show more ,
40607414000091110971742432694873|29576557https://staffing.epam.com/positions/797388427/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400005031610&position=797388427,1742432856623,3,Employee widget#Candidate summary - Show more ,
40607414003799293391742215760441|517825430https://staffing.epam.com/positions/775563602/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400379929339&position=775563602,1742215824435,5,Employee widget#Candidate summary - Show more ,
40607414004361310931742233681862|1725530223https://staffing.epam.com/positions/795129457/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000182724&position=795129457,1742233725925,1,Employee widget#Candidate summary - Show more ,
40607414004361310931742304187843|1318592038https://staffing.epam.com/positions/794747394/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400038793597&position=794747394,1742304226560,1,Employee widget#Candidate summary - Show more ,
87600000000006648531742206207369|22131990https://staffing.epam.com/positions/782598677/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400428788603&position=782598677,1742206279721,1,Employee widget#Candidate summary - Show more ,Employee widget#open#Expand skill group - Employee sidebar
40007414000110620801742375526118|740181837https://staffing.epam.com/positions/767095794/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400035064698&position=767095794,1742487532816,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
87600000000012747081742402359477|1662033801https://staffing.epam.com/positions/792895378/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000008482591&position=792895378,1742402378137,1,Employee widget#Candidate summary - Show more ,
40607414000054331971742551451179|200677617https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400005009693&position=799652447,1742552237589,1,Employee widget#Candidate summary - Show more ,
40607414003355394831742198951126|942129115https://staffing.epam.com/positions/800378391/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400007168087&position=800378391,1742199421052,1,Employee widget#Candidate summary - Show more ,Employee widget#open contacs
40607414004361310931742378663235|1732312774https://staffing.epam.com/positions/795365331/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400369520613&position=795365331,1742379977912,1,Employee widget#Candidate summary - Show more ,
40607414004162830721742738403466|224177088https://staffing.epam.com/positions/800780537/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400008155445&position=800780537,1742742428729,1,Employee widget#Candidate summary - Show more ,Employee widget#interview_card
40607414000480714941742489217363|1418035976https://staffing.epam.com/positions/799378682/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400008266560&position=799378682,1742491659115,1,Employee widget#Candidate summary - Show more ,
40607414003647241771742229666312|1470796984https://staffing.epam.com/positions/779963577/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400451338225&position=779963577,1742229934284,1,Employee widget#Candidate summary - Show more ,
40607414000357439241742414954803|2103788736https://staffing.epam.com/positions/782104269/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000866011&position=782104269,1742419359524,1,Employee widget#Candidate summary - Show more ,
40007414000136400191742570281371|908942139https://staffing.epam.com/positions/801448629/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400416694881&position=801448629,1742570315432,1,Employee widget#Candidate summary - Show more ,Employee widget#Menu - availabilityCandidateWidgetTab
40607414003799293391742344409051|142248159https://staffing.epam.com/positions/801427586/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400379929339&position=801427586,1742344417183,3,Employee widget#Candidate summary - Show more ,
40607414004100860631742311863430|514845556https://staffing.epam.com/positions/776361925/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000702332&position=776361925,1742311871003,1,Employee widget#Candidate summary - Show more ,Employee widget#open contacs
40007414000033576811742455925576|1315670087https://staffing.epam.com/positions/794650187/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400429979151&position=794650187,1742455964224,1,Employee widget#Candidate summary - Show more ,
87600000000004910981742473647137|372373298https://staffing.epam.com/positions/801702902/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8400000000030881590&position=801702902,1742473676907,2,Employee widget#Candidate summary - Show more ,
40607414000053667451742297745259|1863739676https://staffing.epam.com/positions/782598677/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400005366745&position=782598677,1742298556514,1,Employee widget#Candidate summary - Show more ,
40607414000065907231742288656151|275515874https://staffing.epam.com/positions/799168770/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000744742&position=799168770,1742289529500,2,Employee widget#Candidate summary - Show more ,
40607414003647241771742462813605|1201294659https://staffing.epam.com/positions/789706139/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000469600&position=789706139,1742489667803,2,Employee widget#Candidate summary - Show more ,Employee widget#Search skill - Employee sidebar
40006107000000017661742459139237|1548698152https://staffing.epam.com/positions/787891463/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400377466373&position=787891463,1742459848142,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414000061424321742373411246|1487257494https://staffing.epam.com/positions/787203145/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000627355&position=787203145,1742373638209,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40007414000136400191742554548987|2002136284https://staffing.epam.com/positions/801450132/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400463475314&position=801450132,1742554714313,6,Employee widget#Candidate summary - Show more ,Employee widget#Menu - matchAndSkillsCandidateWidgetTab
40607414000053667451742394729676|958273091https://staffing.epam.com/positions/798779507/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400363935993&position=798779507,1742395564180,1,Employee widget#Candidate summary - Show more ,
40607414004782720711742298285366|2089892492https://staffing.epam.com/positions/797245602/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8400000000020683381&position=797245602,1742298464988,6,Employee widget#Candidate summary - Show more ,
40007414000136400191742555404311|205036149https://staffing.epam.com/positions/801450132/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8400000000029511293&position=801450132,1742555440212,1,Employee widget#Candidate summary - Show more ,Employee widget#interview_card
40607414000503378201742474394666|1294562301https://staffing.epam.com/positions/794100824/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400344503888&position=794100824,1742474419079,1,Employee widget#Candidate summary - Show more ,Employee widget#Menu - matchAndSkillsCandidateWidgetTab
40607414000054331971742420471745|1174426881https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400475005268&position=799652447,1742420597734,1,Employee widget#Candidate summary - Show more ,
40607414000374545281742367291351|366739993https://staffing.epam.com/positions/801060067/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400444238850&position=801060067,1742368043925,1,Employee widget#Candidate summary - Show more ,Employee widget#Candidate summary - Show more 
40607414000374545281742367291351|366739993https://staffing.epam.com/positions/801060067/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400444238850&position=801060067,1742368228415,2,Employee widget#Candidate summary - Show more ,
40607414000091110971742302408224|236764378https://staffing.epam.com/positions/800657611/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400036304481&position=800657611,1742302598793,1,Employee widget#Candidate summary - Show more ,
40006254000000020211742204988289|1452892125https://staffing.epam.com/positions/799133045/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000670772&position=799133045,1742215428186,1,Employee widget#Candidate summary - Show more ,
40607414000054331971742420471745|1174426881https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000427388&position=799652447,1742420639886,1,Employee widget#Candidate summary - Show more ,
40607414000059610811742214898785|1228934826https://staffing.epam.com/positions/798721107/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8400000000086248697&position=798721107,1742215880990,1,Employee widget#Candidate summary - Show more ,Employee widget#Menu - matchAndSkillsCandidateWidgetTab
87600000000063520681742471847250|83172156https://staffing.epam.com/positions/782988856/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000006051854&position=782988856,1742471860458,1,Employee widget#Candidate summary - Show more ,Employee widget#Menu - matchAndSkillsCandidateWidgetTab
40607414000387935971742424007049|1494945655https://staffing.epam.com/positions/799327238/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4000741400002614899&position=799327238,1742424075982,1,Employee widget#Candidate summary - Show more ,
40607414000349633471742216661074|771977077https://staffing.epam.com/positions/793912965/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400037515426&position=793912965,1742225200359,1,Employee widget#Candidate summary - Show more ,
40607414000054331971742398211953|725634603https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400471262932&position=799652447,1742398602310,1,Employee widget#Candidate summary - Show more ,
40607414003585169691742371486882|91489812https://staffing.epam.com/positions/798682726/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400041648248&position=798682726,1742371847470,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414000059592301742478610838|1263332645https://staffing.epam.com/positions/801924223/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400413883650&position=801924223,1742478725545,1,Employee widget#Candidate summary - Show more ,
40607414003678457541742235803685|124541902https://staffing.epam.com/positions/789013914/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400410893605&position=789013914,1742236368536,1,Employee widget#Candidate summary - Show more ,
40607414004080988191742454825328|45147146https://staffing.epam.com/positions/797635261/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400007038006&position=797635261,1742454943263,1,Employee widget#Candidate summary - Show more ,
87600000000008712291742539462917|1548400451https://staffing.epam.com/positions/792575944/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000007144278&position=792575944,1742539655909,1,Employee widget#Candidate summary - Show more ,
40007414000136400191742555491407|373201795https://staffing.epam.com/positions/801450132/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400447899215&position=801450132,1742555597919,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414000059610811742214898785|1228934826https://staffing.epam.com/positions/798721107/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000006243784&position=798721107,1742216037586,1,Employee widget#Candidate summary - Show more ,
87600000000002002371742221124798|992701586https://staffing.epam.com/positions/800642890/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000424972&position=800642890,1742222473556,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
40607414000503378201742365028110|1730859672https://staffing.epam.com/positions/801279925/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4000741400000286797&position=801279925,1742365165657,3,Employee widget#Candidate summary - Show more ,
40007414000033576811742377004835|1661900684https://staffing.epam.com/positions/794650187/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400429979151&position=794650187,1742377036716,1,Employee widget#Candidate summary - Show more ,Employee widget#Past projects - Show more 
